sighting_id,park_code,gbif_id,scientific_name,common_name,taxon_rank,event_date,decimal_latitude,decimal_longitude,basis_of_record,dataset_key,recorded_by,source
GBIF-6179173170,GLAC,6179173170,"Anatis rathvoni (LeConte, 1852)",,SPECIES,2026-03-08T14:56:55,48.340228,-114.167617,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,J. Covill,GBIF Occurrence API
GBIF-6179215271,GLAC,6179215271,"Canachites canadensis franklinii (Douglas, 1829)",,SUBSPECIES,2026-03-05T11:33,48.5366,-113.996804,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,skottfreee,GBIF Occurrence API
GBIF-6179310255,GLAC,6179310255,Chrysothrix candelaris (L.) J.R.Laundon,,SPECIES,2026-03-04T12:14:57,48.610125,-114.172348,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,John Ryan,GBIF Occurrence API
GBIF-6179467609,GLAC,6179467609,Alectoria sarmentosa (Ach.) Ach.,,SPECIES,2026-03-02T16:10:50,48.634041,-113.859814,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,John Ryan,GBIF Occurrence API
GBIF-6179474056,GLAC,6179474056,"Turdus migratorius Linnaeus, 1766",,SPECIES,2026-03-14T08:56:37,48.340245,-114.167755,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,J. Covill,GBIF Occurrence API
GBIF-6179547387,GLAC,6179547387,Betula papyrifera Marshall,,SPECIES,2026-03-06T13:01:36,48.679333,-113.819038,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,John Ryan,GBIF Occurrence API
GBIF-6184784602,GLAC,6184784602,"Leptoglossus occidentalis Heidemann, 1910",,SPECIES,2026-03-19T15:47:26,48.413497,-114.335945,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Gertrude Ferguson,GBIF Occurrence API
GBIF-6184790834,GLAC,6184790834,"Meleagris gallopavo Linnaeus, 1758",,SPECIES,2026-03-11T10:39:57,48.369224,-114.179607,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,drbasil,GBIF Occurrence API
GBIF-6184809986,GLAC,6184809986,"Antigone canadensis (Linnaeus, 1758)",,SPECIES,2026-03-17T19:38:42,48.379275,-114.353583,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,drbasil,GBIF Occurrence API
GBIF-6184891303,GLAC,6184891303,"Turdus migratorius Linnaeus, 1766",,SPECIES,2026-03-06T09:19:28,48.209208,-114.288111,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,drbasil,GBIF Occurrence API
GBIF-6185007612,GLAC,6185007612,"Meleagris gallopavo Linnaeus, 1758",,SPECIES,2026-03-20T18:05:39,48.420917,-114.377638,HUMAN_OBSERVATION,50c9509d-22c7-4a22-a47d-8c48425ef4a7,hillary 🧡🤍💖,GBIF Occurrence API
