park_name,park_code,year,month,recreation_visits,source,source_url,date_accessed,license_usage_note
Mount Rainier NP,MORA,2025,5,99974,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Mount Rainier NP,MORA,2025,6,251066,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Mount Rainier NP,MORA,2025,7,428242,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Mount Rainier NP,MORA,2025,8,430922,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Mount Rainier NP,MORA,2025,9,168751,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Mount Rainier NP,MORA,2025,10,98921,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Mount Rainier NP,MORA,2025,11,30232,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Mount Rainier NP,MORA,2025,12,21352,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Olympic NP,OLYM,2025,1,99595,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Olympic NP,OLYM,2025,2,115894,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Olympic NP,OLYM,2025,3,132357,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Olympic NP,OLYM,2025,4,171452,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Olympic NP,OLYM,2025,5,436911,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Olympic NP,OLYM,2025,6,365561,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Olympic NP,OLYM,2025,7,533701,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Olympic NP,OLYM,2025,8,565357,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Olympic NP,OLYM,2025,9,516754,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Olympic NP,OLYM,2025,10,323073,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Olympic NP,OLYM,2025,11,217240,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Olympic NP,OLYM,2025,12,106292,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Yellowstone NP,YELL,2025,1,40363,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Yellowstone NP,YELL,2025,2,44133,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Yellowstone NP,YELL,2025,3,33284,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Yellowstone NP,YELL,2025,4,78529,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Yellowstone NP,YELL,2025,5,566363,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Yellowstone NP,YELL,2025,6,928250,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Yellowstone NP,YELL,2025,7,975109,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Yellowstone NP,YELL,2025,8,881936,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Yellowstone NP,YELL,2025,9,839579,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Yellowstone NP,YELL,2025,10,313959,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Yellowstone NP,YELL,2025,11,26961,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
Yellowstone NP,YELL,2025,12,34522,NPS Visitor Use Statistics IRMA REST API,https://irmaservices.nps.gov/Stats/v1/visitation,2026-05-28,U.S. federal public information; verify current NPS terms before redistribution.
