sighting_id,park_id,park_name,state,species_id,common_name,scientific_name,category,event_date,year,month,season,time_of_day,decimal_latitude,decimal_longitude,coordinate_uncertainty,temperature_max,temperature_min,temperature_avg,precipitation,snowfall,wind_speed,recreation_visits,crowd_level,basis_of_record,location_filter_method,data_quality_flag,source,weather_joined,visitation_joined,search_result_count,official_source_count,area_context_count,season_context_count,time_context_count,avg_serp_confidence_score,top_mentioned_area,top_mentioned_season,top_mentioned_time_of_day,has_official_context,has_recent_context
GBIF-5167383518_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-05-19,2025.0,5.0,spring,evening,44.774938,-110.578353,27285.0,,,,,,,566363.0,medium,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5168349941_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-05-25,2025.0,5.0,spring,afternoon,44.71888,-110.670655,27285.0,,,,,,,566363.0,medium,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5176482359_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-05-26,2025.0,5.0,spring,evening,44.657952,-110.492958,27285.0,,,,,,,566363.0,medium,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5176543244_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-05-28,2025.0,5.0,spring,afternoon,44.655561,-110.713504,27285.0,,,,,,,566363.0,medium,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5176698059_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-05-23,2025.0,5.0,spring,evening,44.52088,-110.591153,27317.0,,,,,,,566363.0,medium,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5176895109_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-05-29,2025.0,5.0,spring,afternoon,44.429061,-110.468986,51969.0,,,,,,,566363.0,medium,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5177014807_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-05-22,2025.0,5.0,spring,evening,44.74248,-110.576647,27285.0,,,,,,,566363.0,medium,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5177326149_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-05-30,2025.0,5.0,spring,afternoon,44.676868,-110.60151,27285.0,,,,,,,566363.0,medium,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5187645493_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-05-14,2025.0,5.0,spring,afternoon,44.918406,-110.148049,27253.0,,,,,,,566363.0,medium,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
GBIF-5188098604_park_yell,park_yell,Yellowstone National Park,WY/MT/ID,species_grizzly_bear,Grizzly Bear,"Ursus arctos horribilis Ord, 1815",Mammal,2025-05-19,2025.0,5.0,spring,morning,44.555749,-110.01842,27317.0,,,,,,,566363.0,medium,HUMAN_OBSERVATION,bounding_box,coordinate_uncertain,GBIF Occurrence API,False,True,0,0,0,0,0,0.0,unknown,unknown,unknown,False,False
