sighting_id,occurrence_id,park_id,species_id,scientific_name,common_name,event_date,year,month,season,time_of_day,decimal_latitude,decimal_longitude,coordinate_uncertainty,basis_of_record,location_filter_method,source,license,data_quality_flag
GBIF-5176543244_park_yell,GBIF-5176543244,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-05-28,2025.0,5.0,spring,afternoon,44.655561,-110.713504,27285.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5176698059_park_yell,GBIF-5176698059,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-05-23,2025.0,5.0,spring,evening,44.52088,-110.591153,27317.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5176895109_park_yell,GBIF-5176895109,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-05-29,2025.0,5.0,spring,afternoon,44.429061,-110.468986,51969.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5177014807_park_yell,GBIF-5177014807,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-05-22,2025.0,5.0,spring,evening,44.74248,-110.576647,27285.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5177326149_park_yell,GBIF-5177326149,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-05-30,2025.0,5.0,spring,afternoon,44.676868,-110.60151,27285.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5187645493_park_yell,GBIF-5187645493,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-05-14,2025.0,5.0,spring,afternoon,44.918406,-110.148049,27253.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5188098604_park_yell,GBIF-5188098604,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-05-19,2025.0,5.0,spring,morning,44.555749,-110.01842,27317.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5206770910_park_yell,GBIF-5206770910,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-05-13,2025.0,5.0,spring,morning,44.883186,-110.365322,27253.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5292121210_park_yell,GBIF-5292121210,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-05-17,2025.0,5.0,spring,afternoon,44.734777,-110.517437,27285.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5292386051_park_yell,GBIF-5292386051,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-05-16,2025.0,5.0,spring,evening,44.960078,-110.761412,27253.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5292386067_park_yell,GBIF-5292386067,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-05-17,2025.0,5.0,spring,early_morning,44.903413,-110.344609,27253.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5292737688_park_yell,GBIF-5292737688,park_yell,species_grizzly_bear,"Ursus arctos horribilis Ord, 1815",Grizzly Bear,2025-05-16,2025.0,5.0,spring,evening,44.459013,-110.881919,27317.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
GBIF-5292854901_park_yell,GBIF-5292854901,park_yell,species_grizzly_bear,"Ursus arctos Linnaeus, 1758",Grizzly Bear,2025-05-17,2025.0,5.0,spring,morning,44.931104,-110.001882,27253.0,HUMAN_OBSERVATION,bounding_box,GBIF Occurrence API,http://creativecommons.org/licenses/by-nc/4.0/legalcode,coordinate_uncertain
